date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:57	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
12:00:57	21431/21431	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Apr%202018%2020:29:07%20GMT	https://preview.colorlib.com/theme/balita/	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/index.html	(from )
12:00:58	24884/24884	---MCZ	200	added ('OK')	text/css	etag:W/%226134-5c1f9a7d79335-gzip%22	https://preview.colorlib.com/theme/balita/css/bootstrap.css	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/css/bootstrap.css	(from https://preview.colorlib.com/theme/balita/)
12:00:58	19962/19962	---MCZ	200	added ('OK')	text/css	etag:W/%224dfa-5c1f9a7d79335-gzip%22	https://preview.colorlib.com/theme/balita/css/animate.css	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/css/animate.css	(from https://preview.colorlib.com/theme/balita/)
12:00:58	3336/3336	---MCZ	200	added ('OK')	text/css	etag:W/%22d08-5c1f9a7d79335-gzip%22	https://preview.colorlib.com/theme/balita/css/owl.carousel.min.css	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/balita/)
12:00:59	51284/51284	---MCZ	200	added ('OK')	text/css	etag:W/%22c854-56a61b0cab580-gzip%22	https://preview.colorlib.com/theme/balita/fonts/ionicons/css/ionicons.min.css	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/fonts/ionicons/css/ionicons.min.css	(from https://preview.colorlib.com/theme/balita/)
12:00:59	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%227918-56a61b0045840-gzip%22	https://preview.colorlib.com/theme/balita/fonts/fontawesome/css/font-awesome.min.css	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/fonts/fontawesome/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/balita/)
12:00:59	1563/1563	---MCZ	200	added ('OK')	text/css	etag:W/%2261b-56a61af5c7f80-gzip%22	https://preview.colorlib.com/theme/balita/fonts/flaticon/font/flaticon.css	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/fonts/flaticon/font/flaticon.css	(from https://preview.colorlib.com/theme/balita/)
12:01:00	16407/16407	---MCZ	200	added ('OK')	text/css	etag:W/%224017-5c1f9a7d79335-gzip%22	https://preview.colorlib.com/theme/balita/css/style.css	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/css/style.css	(from https://preview.colorlib.com/theme/balita/)
12:01:00	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Fri,%2025%20Nov%202022%2006:30:58%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/My%20Web%20Sites/balita/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/balita/)
12:01:01	21432/21432	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Apr%202018%2020:29:07%20GMT	https://preview.colorlib.com/theme/balita/index.html	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/index-2.html	(from https://preview.colorlib.com/theme/balita/)
12:01:01	17032/17032	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Apr%202018%2020:29:06%20GMT	https://preview.colorlib.com/theme/balita/category.html	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/category.html	(from https://preview.colorlib.com/theme/balita/)
12:01:01	18183/18183	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Apr%202018%2020:29:05%20GMT	https://preview.colorlib.com/theme/balita/about.html	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/about.html	(from https://preview.colorlib.com/theme/balita/)
12:01:02	13080/13080	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Apr%202018%2020:29:07%20GMT	https://preview.colorlib.com/theme/balita/contact.html	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/contact.html	(from https://preview.colorlib.com/theme/balita/)
12:01:02	20805/20805	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Apr%202018%2020:29:06%20GMT	https://preview.colorlib.com/theme/balita/blog-single.html	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/blog-single.html	(from https://preview.colorlib.com/theme/balita/)
12:01:03	70630/70630	---M--	200	added ('OK')	image/jpeg	etag:%22113e6-56a61a9299580%22	https://preview.colorlib.com/theme/balita/images/img_1.jpg	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/images/img_1.jpg	(from https://preview.colorlib.com/theme/balita/)
12:01:03	60116/60116	---M--	200	added ('OK')	image/jpeg	etag:%22ead4-56a61a9669e80%22	https://preview.colorlib.com/theme/balita/images/img_2.jpg	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/images/img_2.jpg	(from https://preview.colorlib.com/theme/balita/)
12:01:04	62676/62676	---M--	200	added ('OK')	image/jpeg	etag:%22f4d4-56a61a9852300%22	https://preview.colorlib.com/theme/balita/images/img_3.jpg	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/images/img_3.jpg	(from https://preview.colorlib.com/theme/balita/)
12:01:04	114203/114203	---M--	200	added ('OK')	image/jpeg	etag:%221be1b-56a61a9852300%22	https://preview.colorlib.com/theme/balita/images/img_4.jpg	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/images/img_4.jpg	(from https://preview.colorlib.com/theme/balita/)
12:01:04	77532/77532	---M--	200	added ('OK')	image/jpeg	etag:%2212edc-56a61a9946540%22	https://preview.colorlib.com/theme/balita/images/img_5.jpg	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/images/img_5.jpg	(from https://preview.colorlib.com/theme/balita/)
12:01:05	86018/86018	---M--	200	added ('OK')	image/jpeg	etag:%2215002-56a61a9b2e9c0%22	https://preview.colorlib.com/theme/balita/images/img_6.jpg	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/images/img_6.jpg	(from https://preview.colorlib.com/theme/balita/)
12:01:06	60117/60117	---M--	200	added ('OK')	image/jpeg	etag:%22ead5-56a61a9b2e9c0%22	https://preview.colorlib.com/theme/balita/images/img_7.jpg	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/images/img_7.jpg	(from https://preview.colorlib.com/theme/balita/)
12:01:06	101877/101877	---M--	200	added ('OK')	image/jpeg	etag:%2218df5-56a61a9c22c00%22	https://preview.colorlib.com/theme/balita/images/img_8.jpg	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/images/img_8.jpg	(from https://preview.colorlib.com/theme/balita/)
12:01:06	141963/141963	---M--	200	added ('OK')	image/jpeg	etag:%2222a8b-56a61a9e0b080%22	https://preview.colorlib.com/theme/balita/images/img_9.jpg	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/images/img_9.jpg	(from https://preview.colorlib.com/theme/balita/)
12:01:07	63133/63133	---M--	200	added ('OK')	image/jpeg	etag:%22f69d-56a61a938d7c0%22	https://preview.colorlib.com/theme/balita/images/img_10.jpg	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/images/img_10.jpg	(from https://preview.colorlib.com/theme/balita/)
12:01:07	116339/116339	---M--	200	added ('OK')	image/jpeg	etag:%221c673-56a61a9575c40%22	https://preview.colorlib.com/theme/balita/images/img_11.jpg	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/images/img_11.jpg	(from https://preview.colorlib.com/theme/balita/)
12:01:07	94323/94323	---M--	200	added ('OK')	image/jpeg	etag:%2217073-56a61a9669e80%22	https://preview.colorlib.com/theme/balita/images/img_12.jpg	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/images/img_12.jpg	(from https://preview.colorlib.com/theme/balita/)
12:01:08	30609/30609	---M--	200	added ('OK')	image/jpeg	etag:%227791-56a61a9e0b080%22	https://preview.colorlib.com/theme/balita/images/person_1.jpg	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/images/person_1.jpg	(from https://preview.colorlib.com/theme/balita/)
12:01:08	86658/86658	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215282-56a61aa794700-gzip%22	https://preview.colorlib.com/theme/balita/js/jquery-3.2.1.min.js	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/js/jquery-3.2.1.min.js	(from https://preview.colorlib.com/theme/balita/)
12:01:09	14923/14923	---MCZ	200	added ('OK')	application/javascript	etag:W/%223a4b-56a61aa888940-gzip%22	https://preview.colorlib.com/theme/balita/js/jquery-migrate-3.0.0.js	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/js/jquery-migrate-3.0.0.js	(from https://preview.colorlib.com/theme/balita/)
12:01:10	19235/19235	---MCZ	200	added ('OK')	application/javascript	etag:W/%224b23-56a61aab65000-gzip%22	https://preview.colorlib.com/theme/balita/js/popper.min.js	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/js/popper.min.js	(from https://preview.colorlib.com/theme/balita/)
12:01:12	50564/50564	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c584-56a61aa794700-gzip%22	https://preview.colorlib.com/theme/balita/js/bootstrap.min.js	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/balita/)
12:01:12	43237/43237	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a8e5-56a61aaa70dc0-gzip%22	https://preview.colorlib.com/theme/balita/js/owl.carousel.min.js	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/js/owl.carousel.min.js	(from https://preview.colorlib.com/theme/balita/)
12:01:12	8835/8835	---MCZ	200	added ('OK')	application/javascript	etag:W/%222283-56a61aa97cb80-gzip%22	https://preview.colorlib.com/theme/balita/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/js/jquery.waypoints.min.js	(from https://preview.colorlib.com/theme/balita/)
12:01:13	12597/12597	---MCZ	200	added ('OK')	application/javascript	etag:W/%223135-56a61aa888940-gzip%22	https://preview.colorlib.com/theme/balita/js/jquery.stellar.min.js	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/js/jquery.stellar.min.js	(from https://preview.colorlib.com/theme/balita/)
12:01:13	3666/3666	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e52-56a61aa97cb80-gzip%22	https://preview.colorlib.com/theme/balita/js/main.js	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/js/main.js	(from https://preview.colorlib.com/theme/balita/)
12:01:14	2358/2358	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Nov%202022%2006:31:12%20GMT	https://preview.colorlib.com/theme/balita/css/owl.video.play.png	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/css/owl.video.play.png	(from https://preview.colorlib.com/theme/balita/css/owl.carousel.min.css)
12:01:14	120724/120724	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221d794-56a61b1264300%22	https://preview.colorlib.com/theme/balita/fonts/ionicons/fonts/ionicons.eot?v=2.0.0	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/fonts/ionicons/fonts/ionicons28b5.eot	(from https://preview.colorlib.com/theme/balita/fonts/ionicons/css/ionicons.min.css)
12:01:15	67904/67904	---M--	200	added ('OK')	font/woff	etag:%2210940-56a61b1634c00%22	https://preview.colorlib.com/theme/balita/fonts/ionicons/fonts/ionicons.woff?v=2.0.0	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/fonts/ionicons/fonts/ionicons28b5.woff	(from https://preview.colorlib.com/theme/balita/fonts/ionicons/css/ionicons.min.css)
12:01:15	188508/188508	---MCZ	200	added ('OK')	font/ttf	etag:W/%222e05c-56a61b15409c0%22	https://preview.colorlib.com/theme/balita/fonts/ionicons/fonts/ionicons.ttf?v=2.0.0	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/fonts/ionicons/fonts/ionicons28b5.ttf	(from https://preview.colorlib.com/theme/balita/fonts/ionicons/css/ionicons.min.css)
12:01:16	333834/333834	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225180a-56a61b144c780%22	https://preview.colorlib.com/theme/balita/fonts/ionicons/fonts/ionicons.svg?v=2.0.0	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/fonts/ionicons/fonts/ionicons28b5.svg	(from https://preview.colorlib.com/theme/balita/fonts/ionicons/css/ionicons.min.css)
12:01:16	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-56a61b050a380%22	https://preview.colorlib.com/theme/balita/fonts/fontawesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/fonts/fontawesome/fonts/fontawesome-webfont3e6e.eot	(from https://preview.colorlib.com/theme/balita/fonts/fontawesome/css/font-awesome.min.css)
12:01:17	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-56a61b050a380%22	https://preview.colorlib.com/theme/balita/fonts/fontawesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/balita/preview.colorlib.com/theme/balita/fonts/fontawesome/fonts/fontawesome-webfontd41d.eot	(from https://preview.colorlib.com/theme/balita/fonts/fontawesome/css/font-awesome.min.css)
